"filename", "language", "JavaScript", "HTML", "PHP", "comment", "blank", "total"
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/html/cart.html", "HTML", 0, 83, 0, 10, 24, 117
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/html/cart.js", "JavaScript", 390, 0, 0, 37, 92, 519
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/html/forgot-password.html", "HTML", 0, 105, 0, 0, 12, 117
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/html/index.html", "HTML", 0, 60, 0, 0, 15, 75
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/html/index.js", "JavaScript", 74, 0, 0, 9, 22, 105
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/html/login.html", "HTML", 0, 37, 0, 9, 10, 56
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/html/order_history.html", "HTML", 0, 29, 0, 1, 6, 36
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/html/orderhistory.js", "JavaScript", 82, 0, 0, 5, 18, 105
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/html/signin.js", "JavaScript", 55, 0, 0, 3, 11, 69
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/html/signup.html", "HTML", 0, 42, 0, 9, 7, 58
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/html/signup.js", "JavaScript", 41, 0, 0, 5, 5, 51
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/html/stafflogin.html", "HTML", 0, 23, 0, 10, 9, 42
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/html/staffsignin.js", "JavaScript", 56, 0, 0, 3, 12, 71
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/html/success.js", "JavaScript", 97, 0, 0, 6, 21, 124
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/html/success.php", "PHP", 0, 0, 93, 3, 18, 114
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/html/verification.html", "HTML", 0, 18, 0, 9, 6, 33
"/Users/riadmammadov/Documents/Individual Project/Code/src/public/html/verify.js", "JavaScript", 32, 0, 0, 4, 5, 41
"Total", "-", 827, 397, 93, 123, 293, 1733